product_id,product_name,product_cost,product_type
1,Classic Milk Tea,4.99,Milk Tea
2,Taro Milk Tea,5.49,Milk Tea
3,Thai Tea,4.99,Milk Tea
4,Matcha Latte,5.99,Milk Tea
5,Wintermelon Tea,4.49,Fruit Tea
6,Mango Green Tea,4.99,Fruit Tea
7,Strawberry Black Tea,4.99,Fruit Tea
8,Honeydew Milk Tea,5.49,Milk Tea
9,Brown Sugar Milk Tea,5.99,Milk Tea
10,Lychee Oolong Tea,4.99,Fruit Tea
11,Passion Fruit Green Tea,4.99,Fruit Tea
12,Peach Black Tea,4.99,Fruit Tea
13,Jasmine Green Tea,4.49,Classic Tea
14,Chai Milk Tea,5.49,Milk Tea
15,Almond Milk Tea,5.49,Milk Tea
16,Grapefruit Green Tea,4.99,Fruit Tea
17,Rose Oolong Tea,4.99,Classic Tea
18,Coconut Milk Tea,5.49,Milk Tea
19,Pineapple Black Tea,4.99,Fruit Tea
20,Honey Lemon Tea,4.49,Fruit Tea
